RID,Title,Organization
ASHRAE 15 &amp; 34,(2013) ASHRAE Standard 34-2016 Safety Standard for Refrigeration Systems/ASHRAE Standard 34-2016 Designation and Safety Classification of Refrigerants-ASHRAE Standard 34-2016,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 17,(2022) Method of Testing Capacity of Thermostatic Refrigerant Expansion Valves,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 23.1,(2019) Methods for Performance Testing for Rating Positive Displacement Refrigerant Compressors and Condensing Units that Operate at Subcritical Temperatures of the Refrigerant,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 33,(2016) Method of Testing Forced Circulation Air Cooling and Air Heating Coils,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 52.2,(2017) Method of Testing General Ventilation Air-Cleaning Devices for Removal Efficiency by Particle Size,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 55,(2023) Thermal Environmental Conditions for Human Occupancy,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 62.1,(2016) Ventilation for Acceptable Indoor Air Quality,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 64,(2020) Methods of Testing Remote Mechanical-Draft Evaporative Refrigerant Condensers,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 70,(2023) Method of Testing the Performance of Air Outlets and Inlets,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 84,(2024) Method of Testing Air-to-Air Heat/Energy Exchangers,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 90.1 - IP,(2019) Energy Standard for Buildings Except Low-Rise Residential Buildings,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 90.1 - SI,(2019) Energy Standard for Buildings Except Low-Rise Residential Buildings,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 90.2,(2018; Addenda A-B 2021; Addenda C-K 2023; Addenda L 2024) Energy-Efficient Design of Low-Rise Residential Buildings,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 93,(2010; Errata 2013; Errata 2014) Methods of Testing to Determine the Thermal Performance of Solar Collectors,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 96,(1980; R 1989) Methods of Testing to Determine the Thermal Performance of Unglazed Flat-Plate Liquid-Type Solar Collectors,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 127,(2012) Method of Testing for Rating Computer and Data Processing Room Unitary Air-Conditioners,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 135,(2020; Interpretation 1-8 2021; Errata 1-2 2021; Addenda CD 2021; Addenda BV-CE 2022; Interpretation 9-12 2022; Interpretation 13-24 2023; Addenda BV-CF 2023; Errata 3 2023) BACnet — A Data Communication Protocol for Building Automation and Control Networks,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 146,(2020) Method of Testing and Rating Pool Heaters (ANSI Approved),"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 150,(2019) Method of Testing the Performance of Cool Storage Systems,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 169,(2021) Climate Data for Building Design Standards,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 180,(2018) Standard Practice for Inspection and Maintenance of Commercial Building HVAC Systems,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 188,(2021) Legionellosis: Risk Management for Building Water Systems,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 189.1,(2014) Standard for the Design of High-Performance Green Buildings Except Low-Rise Residential Buildings,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE 202,(2024) Commissioning Process for Buildings and Systems,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE FUN IP,"(2021) Fundamentals Handbook, I-P Edition","AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE FUN SI,"(2021) Fundamentals Handbook, SI Edition","AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE GUIDELINE 1.4,(2019) Preparing Systems Manuals for Facilities,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE HVAC APP IP HDBK,"(2023) HVAC Applications Handbook, I-P Edition","AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE HVAC APP SI HDBK,"(2023) HVAC Applications Handbook, SI Edition","AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE Item 90376,"(1997) Ground-Source Heat Pumps, Design of Geothermal Systems for Commercial and Institutional Buildings","AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASHRAE RP-935,(1998) Protocol for Field Testing of Tall Buildings to Determine Envelope Air Leakage Rate,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ASME A13.1,(2023) Scheme for the Identification of Piping Systems,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A17.1/CSA B44,(2022) Safety Code for Elevators and Escalators,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A17.2,"(2023) Guide for Inspection of Elevators, Escalators, and Moving Walks",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.1.2,(2012; R 2017; R 2022) Air Gaps in Plumbing Systems (For Plumbing Fixtures and Water-Connected Receptors),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.1.3,"(2000; R 2019) Air Gap Fittings for Use with Plumbing Fixtures, Appliances, and Appurtenances",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.6.1M,(1997; R 2017) Floor Affixed Supports for Off-the-Floor Plumbing Fixtures for Public Use,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.6.3,(2022) Floor Drains,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.6.4,"(2022) Roof, Deck and Balcony Drains",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.14.1,(2003; R 2017; R 2022) Backwater Valves,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.18.1/CSA B125.1,(2024) Plumbing Supply Fittings,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.19.1/CSA B45.2,(2024) Enameled Cast Iron and Enameled Steel Plumbing Fixtures,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.19.2/CSA B45.1,(2024) Standard for Vitreous China Plumbing Fixtures and Hydraulic Requirements for Water Closets and Urinals,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.19.3/CSA B45.4,(2022) Stainless Steel Plumbing Fixtures,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.19.5,"(2022) Flush Valves and Spuds for Water Closets, Urinals, and Tanks",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.19.17,"(2010; R 2018; R 2023) Manufactured Safety Vacuum Release Systems (SVRS) for Residential and Commercial Swimming Pool, Spa, Hot Tub, and Wading Pool Suction Systems",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME A112.36.2M,(2022) Cleanouts,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME AG-1,(2023) Code on Nuclear Air and Gas Treatment,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B1.1,"(2024) Unified Inch Screw Threads (UN, UNR, and UNJ Thread Form)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B1.2,(1983; Errata 1992; R 2017) Gages and Gaging for Unified Inch Screw Threads,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B1.20.1,"(2013; R 2018) Pipe Threads, General Purpose (Inch)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B1.20.2M,"(2006; R 2011) Pipe Threads, 60 Deg. General Purpose (Metric)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B1.20.3,(1976; R 2003; R 2008; R 2013; R 2018; R 2023) Dryseal Pipe Threads (Inch),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B1.20.7,(1991; R 2013) Standard for Hose Coupling Screw Threads (Inch),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B1.21M,(1997; R 2013; R 2018; R 2023) Standard for Metric Screw Threads - MJ Profile,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B4.1,(1967; R 1994; R 2004; R 2009; R 2020) Preferred Limits and Fits for Cylindrical Parts,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B4.2,"(1978; R 1994; R 2004, R 2009; R 2020) Preferred Metric Limits and Fits",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.1,"(2020) Gray Iron Pipe Flanges and Flanged Fittings Classes 25, 125, and 250",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.3,"(2021) Malleable Iron Threaded Fittings, Classes 150 and 300",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.4,(2021) Gray Iron Threaded Fittings; Classes 125 and 250,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.5,(2020) Pipe Flanges and Flanged Fittings NPS 1/2 Through NPS 24 Metric/Inch Standard,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.9,(2024) Factory-Made Wrought Buttwelding Fittings,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.11,"(2022) Forged Fittings, Socket-Welding and Threaded",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.12,(2019) Cast Iron Threaded Drainage Fittings,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.15,(2024) Cast Copper Alloy Threaded Fittings Classes 125 and 250,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.18,(2021) Cast Copper Alloy Solder Joint Pressure Fittings,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.20,(2023) Metallic Gaskets for Pipe Flanges,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.21,(2021) Nonmetallic Flat Gaskets for Pipe Flanges,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.22,(2021) Wrought Copper and Copper Alloy Solder Joint Pressure Fittings,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.23,(2021) Cast Copper Alloy Solder Joint Drainage Fittings - DWV,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.24,"(2022) Cast Copper Alloy Pipe Flanges, Flanged Fittings, and Valves Classes 150, 300, 600, 900, 1500, and 2500",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.25,(2022) Buttwelding Ends,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.26,(2018) Standard for Cast Copper Alloy Fittings for Flared Copper Tubes,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.29,(2022) Wrought Copper and Wrought Copper Alloy Solder-Joint Drainage Fittings - DWV,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.33,"(2024) Manually Operated Metallic Gas Valves for Use in Gas Piping Systems Up to 175 psi, (Sizes NPS 1/2 Through NPS 2)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.34,"(2021) Valves - Flanged, Threaded and Welding End",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.36,(2020) Orifice Flanges,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.38,"(2023) Large Metallic Valves for Gas Distribution Manually Operated, NPS 2 1/2 (DN 65) to NPS 12 (DN 300), 125 psig 8.6 bar) Maximum",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.39,"(2020) Standard for Malleable Iron Threaded Pipe Unions; Classes 150, 250, and 300",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.40,(2024) Manually Operated Thermoplastic Gas Shutoffs and Valves in Gas Distribution Systems,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.42,"(2021) Ductile Iron Pipe Flanges and Flanged Fittings, Classes 150 and 300",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.48,(2015) Line Blanks,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.50,(2021) Wrought Copper and Copper Alloy Braze-Joint Pressure Fittings,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B16.51,(2013) Copper and Copper Alloy Press-Connect Pressure Fittings,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B17.1,(1967; R 2017) Keys and Keyseats,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B17.2,(1967; R 2017) Woodruff Keys and Keyseats,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.2.1,"(2012; R 2021) Square, Hex, Heavy Hex, and Askew Head Bolts and Hex, Heavy Hex, Hex Flange, Lobed Head, and Lag Screws (Inch Series)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.2.2,"(2022) Nuts for General Applications: Machine Screw Nuts, and Hex, Square, Hex Flange, and Coupling Nuts (Inch Series)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.2.3.8M,(1981; R 2005) Metric Hex Lag Screws,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.2.6,(2010; Supp 2011) Fasteners for Use in Structural Applications,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.2.6M,(2012; R 2021) Metric Fasteners for Use in Structural Applications,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.3.3M,(1986; R 2008) Hexagon Socket Head Shoulder Screws (Metric Series),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.5.2.1M,(2006; R 2011) Metric Round Head Short Square Neck Bolts,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.5.2.2M,(1982; R 2010) Metric Round Head Square Neck Bolts,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.6.1,(2016) Wood Screws (Inch Series),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.6.2,(2020) Square Head Set Screws and Slotted Headless Set Screws (Inch Series),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.6.3,"(2024) Machine Screws, Tapping Screws, and Metallic Drive Screws (Inch Series)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.6.5M,(2000; R 2010) Standard Specification for Metric Thread-Forming and Thread-Cutting Tapping Screws,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.6.7M,(1999; R 2010) Metric Machine Screws,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.13,(2017; ERTA 2018) Screw and Washer Assemblies - Sems (Inch Series),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.13.1M,(2011; R 2016; R 2022) Screw and Washer Assemblies:  SEMS (Metric Series),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.21.1,"(2009; R 2016) Washers: Helical Spring-Lock, Tooth Lock, and Plain Washers (Inch Series)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.21.2M,(1999; R 2014) Lock Washers (Metric Series),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.22M,(1981; R 2017) Metric Plain Washers,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.24,(2023) Part Identifying Number (PIN) Code System Standard for B18 Fastener Products,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B18.27,(1998; R 2017) Tapered and Reduced Cross Section Retaining Rings (Inch Series),AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B27.7,(1977; R 2017) General Purpose Tapered and Reduced Cross Section Retaining Rings,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B29.100,"(2011) Precision Power Transmission, Dbl-P-Power Transmission, Dbl-P-conveyor Roller Chains, Attachments and Sprockets",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B29.400,"(2001; (R 2008) (R 2013) (R 2018) (R 2023)) Combination, ""H"" Type Mill Chains, and Sprockets",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B30.2,"(2022) Overhead and Gantry Cranes (Top Running Bridge, Single or Multiple Girder, Top Running Trolley Hoist)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B30.10,(2019) Hooks,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B30.11,"(2010) Monorails and Underhung Cranes - Safety Standard for Cableways, Cranes, Derricks, Hoists, Hooks, Jacks, and Slings",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B30.16,(2022) Overhead Underhung and Stationary Hoists,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B30.17,"(2020) Overhead and Gantry Cranes (Top Running Bridge, Single Girder, Underhung Hoists)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B30.30,(2019) Ropes,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B31.1,(2024) Power Piping,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B31.3,(2022; Errata 2023) Process Piping,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B31.4,(2022) Pipeline Transportation Systems for Liquid Hydrocarbons and Other Liquid,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B31.5,(2022) Refrigeration Piping and Heat Transfer Components,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B31.8,(2022; Supplement 2022) Gas Transmission and Distribution Piping Systems,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B31.9,(2020) Building Services Piping,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B36.10M,(2022) Welded and Seamless Wrought Steel Pipe,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B36.19M,(2022; Errata 2023) Welded and Seamless Wrought Stainless Steel Pipe,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B40.100,(2022) Pressure Gauges and Gauge Attachments,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B40.200,"(2008; R 2013) Thermometers, Direct Reading and Remote Reading",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B46.1,"(2020) Surface Texture, Surface Roughness, Waviness and Lay",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B73.1,(2020) Specification for Horizontal End Suction Centrifugal Pumps for Chemical Process,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME B73.2,(2023) Specification for Vertical In-Line Centrifugal Pumps for Chemical Process,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC,(2010) Boiler and Pressure Vessels Code,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC I,(2017) BPVC Section I-Rules for Construction of Power Boilers,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC II-A,(2017) BPVC Section II-Materials-Part A-Ferrous Materials Specifications,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC II-C,(2017) BPVC Section II-Materials Part C-Specifications for Welding Rods Electrodes and Filler Metals,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC IV,(2017) BPVC Section IV-Rules for Construction of Heating Boilers,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC IX,"(2017; Errata 2018) BPVC Section IX-Welding, Brazing and Fusing Qualifications",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC V,(2017) BPVC Section V-Nondestructive Examination,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC VII,(2017) BPVC Section VII-Recommended Guidelines for the Care of Power Boilers,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC VIII,(2010) Boiler and Pressure Vessel Codes:  Section VIII Rules for Construction of Pressure Vessel,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BPVC SEC VIII D1,(2019) BPVC Section VIII-Rules for Construction of Pressure Vessels Division 1,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME BTH-1,(2014) Design of Below-the-Hook Lifting Devices,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME CSD-1,(2021) Control and Safety Devices for Automatically Fired Boilers,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME HST-1,(2023) Performance Standard for Electric Chain Hoists,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME HST-2,(2023) Performance Standard for Hand Chain Manually Operated Chain Hoists,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME HST-3,(2022) Performance Standard for Lever Hoists,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME HST-4,(2021) Performance Standard for Overhead Electric Wire Rope Hoists,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME HST-5,(2014) Performance Standard for Air Chain Hoists,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME HST-6,(2020) Performance Standard for Air Wire Rope Hoists,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME MFC-3M,"(2022) Measurement of Fluid Flow in Pipes Using Orifice, Nozzle, and Venturi",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME N509,(2002; R 2008) Nuclear Power Plant Air-Cleaning Units and Components,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME NOG-1,"(2020) Rules for Construction of Overhead and Gantry Cranes (Top Running Bridge, Multiple Girder)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME NQA-1,(2024) Quality Assurance Requirements for Nuclear Facility Applications,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME NUM-1,"(2023) Rules for Construction of Cranes, Monorails, and Hoists (With Bridge or Trolley or Hoist of the Underhung Type)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 4,(2013; R 2023) Fired Steam Generators,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 6,(2004; R 2014) Steam Turbines,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 9,"(1970; R 1997) Displacement Compressors, Vacuum Pumps and Blowers (for historical reference only)",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 10,(2022) Performance Test Code on Compressors and Exhausters,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 12.3,(1997; R 2004; R 2009; R 2014; R 2019; R 2024) Performance Test Code on Deaerators,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 19.2,(2010; R 2015; R 2020; R 2024) Pressure Measurement,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 19.3 TW,(2016) Thermowells Performance Test Codes,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 19.5,(2022) Flow Measurement,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 19.10,(1981) Flue and Exhaust Gas Analyses,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 19.11,"(2008; R 2013) Steam and Water Sampling, Conditioning, and Analysis in the Power Cycle",AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 25,(2023) Pressure Relief Devices,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ASME PTC 38,(1980; R 1985) Determining the Concentration of Particulate Matter in a Gas Stream,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ANSI/ASSP A10.34,(2021) Protection of the Public on or Adjacent to Construction Sites,AMERICAN SOCIETY OF SAFETY PROFESSIONALS (ASSP)
ANSI/ASSP A10.44,(2020) Control of Energy Sources (Lockout/Tagout) for Construction and Demolition Operations,AMERICAN SOCIETY OF SAFETY PROFESSIONALS (ASSP)
ANSI/ASSP Z490.1,"(2016) Criteria for Accepted Practices in Safety, Health, and Environmental Training",AMERICAN SOCIETY OF SAFETY PROFESSIONALS (ASSP)
ASSP A10.3,(2020) Safety Requirements for Powder-Actuated Fastening Systems American National Standard for Construction and Demolition Operations,AMERICAN SOCIETY OF SAFETY PROFESSIONALS (ASSP)
ASSP A10.6,(2006) Safety &amp; Health Program Requirements for Demolition Operations - American National Standard for Construction and Demolition Operations,AMERICAN SOCIETY OF SAFETY PROFESSIONALS (ASSP)
ASSP A10.24,(2022) Roofing - Safety Requirements for Low-Sloped Roofs,AMERICAN SOCIETY OF SAFETY PROFESSIONALS (ASSP)
ASSP A1264.1,"(2017) Safety Requirements for Workplace Walking/Working Surfaces and Their Access; Workplace, Floor, Wall and Roof Openings; Stairs and Guardrail/Handrail Systems",AMERICAN SOCIETY OF SAFETY PROFESSIONALS (ASSP)
