RID,Title,Org_Acronym,Org_Name,Org_ID,Spec_References
ASTM A105/A105M,(2023) Standard Specification for Carbon Steel Forgings for Piping Applications,ASTM,ASTM INTERNATIONAL,ORG052,"{""22 00 00"": [""1.1"", ""2.1.1""], ""22 00 70"": [""1.1"", ""2.5""], ""23 05 15"": [""1.1"", ""2.2.2"", ""2.3.17""], ""23 11 20"": [""1.2"", ""2.2.1""], ""23 52 00"": [""1.1"", ""2.12.12.3""], ""23 57 10.00 10"": [""1.1"", ""2.2.11""], ""23 63 00.00"": [""1.1"", ""2.18.2"", ""2.18.3""], ""23 64 26"": [""1.1"", ""2.4.1"", ""2.4.2"", ""2.5.1"", ""2.5.2""], ""33 52 10"": [""1.2"", ""2.3.1.1""], ""33 52 40"": [""1.2"", ""2.2.7.2""], ""33 52 43.13"": [""1.1"", ""2.1.5.2""], ""33 60 02"": [""1.2"", ""2.3.3""], ""33 61 13.13"": [""1.2"", ""2.3.1""], ""40 05 13"": [""1.2"", ""2.23.5"", ""2.4.4.1"", ""2.4.4.2"", ""2.4.4.3"", ""2.5.3"", ""2.5.4""]}"
ASTM A1055/A1055M,(2022) Standard Specification for Zinc and Epoxy Dual Coated Steel Reinforcing Bars,ASTM,ASTM INTERNATIONAL,ORG052,"{""03 30 00"": [""1.1"", ""2.6.1.3""], ""03 31 29"": [""1.1"", ""1.7.6.3"", ""2.7.2.4""], ""03 31 30"": [""1.1"", ""2.7.2.4""]}"
ASTM A106/A106M,(2019a) Standard Specification for Seamless Carbon Steel Pipe for High-Temperature Service,ASTM,ASTM INTERNATIONAL,ORG052,"{""14 24 13"": [""1.1"", ""2.4.3""], ""14 24 23"": [""1.1"", ""2.4.3""], ""21 21 01"": [""1.1"", ""2.3.2""], ""21 22 00.00 20"": [""1.1"", ""2.1.1""], ""22 15 26.00 20"": [""1.1"", ""2.10.1""], ""23 05 15"": [""1.1"", ""2.3.7"", ""2.3.8""], ""23 21 13.23 20"": [""1.1"", ""2.1.2""], ""23 22 26.00 20"": [""1.1"", ""2.1.1.1"", ""2.1.3.1""], ""23 50 52.00 10"": [""1.1"", ""2.3.1.1""], ""23 51 43.00 20"": [""1.1"", ""2.12.6""], ""23 52 30.00 10"": [""1.1"", ""2.4.1.4""], ""23 52 30.01 10"": [""1.1"", ""2.3.4.9""], ""23 52 30.02 10"": [""1.1"", ""2.2.7""], ""23 52 33.01 20"": [""1.1"", ""2.15.3.1""], ""23 52 33.02 20"": [""1.1"", ""2.15.1.1""], ""23 52 33.03 20"": [""1.1"", ""2.10.1""], ""23 57 10.00 10"": [""1.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.9.2""], ""23 58 00.00 10"": [""1.1"", ""2.2.3.9""], ""23 64 26"": [""1.1"", ""2.2.2.4"", ""2.4.1"", ""2.4.2"", ""2.5.1"", ""2.5.2""], ""26 32 15"": [""1.1"", ""2.4.5""], ""33 51 15"": [""1.2"", ""2.2.1"", ""2.2.2""], ""33 60 02"": [""1.2"", ""2.2.1""], ""33 61 13"": [""1.1"", ""2.6.1"", ""2.6.2""], ""33 61 13.13"": [""1.2"", ""2.2.2.1""], ""33 61 13.19"": [""1.1"", ""2.5.2""], ""33 61 14"": [""1.1"", ""2.2.2""], ""33 63 13"": [""1.1"", ""2.5.1"", ""2.5.2""], ""33 63 13.19"": [""1.1"", ""2.2.1"", ""3.3.1""], ""33 63 14"": [""1.1"", ""2.2.1"", ""2.2.2"", ""2.4.7""], ""33 63 16"": [""1.1"", ""2.1.1"", ""2.1.2""], ""33 63 23"": [""1.1"", ""2.1.1"", ""2.1.2"", ""2.5.2""], ""34 75 13.13"": [""1.1"", ""2.5.1""], ""35 05 40.14 10"": [""1.4"", ""2.7.1.2""], ""40 05 13"": [""1.2"", ""2.4.1.2"", ""2.5.3""], ""41 65 10.00 10"": [""1.1"", ""2.3.2""], ""46 31 11"": [""1.1"", ""2.4.2.1""]}"
ASTM A1060/A1060M,"(2016b) Standard Specification for Zinc-Coated (Galvanized) Steel Welded Wire Reinforcement, Plain and Deformed, for Concrete",ASTM,ASTM INTERNATIONAL,ORG052,"{""03 30 00"": [""1.1"", ""2.6.4""], ""03 31 29"": [""1.1"", ""2.7.5""], ""03 31 30"": [""1.1"", ""2.7.5""]}"
ASTM A1064/A1064M,"(2024) Standard Specification for Carbon-Steel Wire and Welded Wire Reinforcement, Plain and Deformed, for Concrete",ASTM,ASTM INTERNATIONAL,ORG052,"{""03 30 00"": [""1.1"", ""2.6.1"", ""2.6.3"", ""2.6.4""], ""03 30 53"": [""1.3"", ""2.2.5""], ""03 31 29"": [""1.1"", ""2.7.2"", ""2.7.4"", ""2.7.5""], ""03 31 30"": [""1.1"", ""2.7.2"", ""2.7.4"", ""2.7.5""], ""03 41 33"": [""1.1"", ""2.3.2.2"", ""2.3.2.3""], ""03 42 13.00 10"": [""1.1"", ""2.2.3.2"", ""2.2.3.3""], ""03 44 00"": [""1.1"", ""2.2.2""], ""03 45 00"": [""1.1"", ""2.2.11"", ""2.2.8.2""], ""03 45 33"": [""1.1"", ""2.2.7.2"", ""2.2.7.3""], ""04 20 00"": [""1.1"", ""2.6.2.1""], ""09 24 23"": [""1.1"", ""2.5""], ""09 30 10"": [""1.1"", ""2.2.6""], ""12 93 00"": [""1.1"", ""2.1.10"", ""2.10.5"", ""2.5.1.2.4"", ""2.8.10.3""], ""31 62 13.20"": [""1.2"", ""2.2.7""], ""31 62 13.24"": [""1.2"", ""2.2.6.1""], ""31 63 16"": [""1.2"", ""2.1.3""], ""31 63 29"": [""1.2"", ""2.3.1.2""], ""31 66 10"": [""1.2"", ""2.1.4""], ""32 13 13.43"": [""1.2"", ""2.8.3""], ""32 13 14.13"": [""1.2"", ""2.8.2""], ""32 13 14.14"": [""1.2"", ""2.8.2""], ""32 13 15.20"": [""1.1"", ""2.2.5""], ""32 16 19"": [""1.2"", ""2.1.3""], ""35 51 13.00 20"": [""1.1"", ""2.2.6.2""], ""35 59 13.13"": [""1.1"", ""2.1.7""]}"
ASTM A1078/A1078M,(2019) Standard Specification for Epoxy-Coated Steel Dowels in Concrete Pavement,ASTM,ASTM INTERNATIONAL,ORG052,"{""32 13 14.13"": [""1.2"", ""2.9.1""], ""32 13 14.14"": [""1.2"", ""2.9.1""]}"
ASTM A108,"(2024) Standard Specification for Steel Bar, Carbon and Alloy, Cold-Finished",ASTM,ASTM INTERNATIONAL,ORG052,"{""05 12 00"": [""1.1"", ""2.4.4""], ""05 51 00"": [""1.1"", ""2.4.4""], ""05 52 00"": [""1.1"", ""2.2.4""], ""08 34 73"": [""1.1"", ""2.3.1""], ""23 51 43.00 20"": [""1.1"", ""2.13.3""], ""23 51 43.03 20"": [""1.1"", ""2.9.3.4""], ""31 68 13"": [""1.2"", ""2.1.1.3""], ""35 01 41.00 10"": [""1.1"", ""2.12.1""], ""35 05 40.14 10"": [""1.4"", ""2.3.1.4"", ""2.3.3.3""], ""35 45 01"": [""1.2"", ""2.3.1""], ""35 45 02.00 10"": [""1.3"", ""2.2.1""], ""35 45 04.00 10"": [""1.2"", ""2.3""], ""40 05 13"": [""1.2"", ""2.4.4.4""], ""46 23 00"": [""1.1"", ""2.3.1.5.1.1"", ""2.3.1.5.1.2"", ""2.3.1.5.2.1""]}"
ASTM A1085/A1085M,(2015) Standard Specification for Cold-Formed Welded Carbon Steel Hollow Structural Sections (HSS),ASTM,ASTM INTERNATIONAL,ORG052,"{""05 12 00"": [""1.1"", ""2.2.2""], ""05 50 15"": [""1.1"", ""2.1.3.1"", ""2.2.1.1""], ""05 59 10"": [""1.1"", ""2.1.4""]}"
ASTM A109/A109M,"(2024) Standard Specification for Steel, Strip, Carbon (0.25 Maximum Percent), Cold-Rolled",ASTM,ASTM INTERNATIONAL,ORG052,"{""05 50 15"": [""1.1"", ""2.1.8""], ""23 82 00.00 20"": [""1.1"", ""2.2.1""], ""31 62 16.13"": [""1.2"", ""2.2.2""]}"
ASTM A1094/A1094M,(2020) Standard Specification for Continuous Hot-Dip Galvanized Steel Bars for Concrete Reinforcement,ASTM,ASTM INTERNATIONAL,ORG052,"{""03 30 00"": [""1.1"", ""2.6.1.1""]}"
ASTM A116,"(2022) Standard Specification for Metallic-Coated, Steel Woven Wire Fence Fabric",ASTM,ASTM INTERNATIONAL,ORG052,"{""32 31 26"": [""1.1"", ""2.2.1.1""]}"
ASTM A121,(2022) Standard Specification for Metallic-Coated Carbon Steel Barbed Wire,ASTM,ASTM INTERNATIONAL,ORG052,"{""32 31 13.53"": [""1.1"", ""2.2.1.2""], ""32 31 26"": [""1.1"", ""2.2.1.2""]}"
ASTM A123/A123M,(2024) Standard Specification for Zinc (Hot-Dip Galvanized) Coatings on Iron and Steel Products,ASTM,ASTM INTERNATIONAL,ORG052,"{""03 45 33"": [""1.1"", ""2.2.9""], ""04 20 00"": [""2.6.2""], ""05 12 00"": [""1.1"", ""2.5""], ""05 30 00"": [""1.1"", ""2.2.16""], ""05 40 00"": [""1.1"", ""2.3.2""], ""05 50 13"": [""1.1"", ""2.3.1"", ""2.9""], ""05 50 14"": [""1.1"", ""2.1.8.1""], ""05 50 15"": [""1.1"", ""2.2.11.1""], ""05 51 00"": [""1.1"", ""2.2.3"", ""2.2.4"", ""2.3.4""], ""05 51 33"": [""1.1"", ""2.3.1""], ""05 52 00"": [""1.1"", ""2.1.3"", ""2.2.7""], ""05 59 10"": [""1.1"", ""2.5.1""], ""05 72 00"": [""1.1"", ""2.1.1""], ""06 13 33"": [""1.1"", ""2.1.4""], ""07 41 13"": [""1.1"", ""1.2.1""], ""07 41 63"": [""1.1"", ""2.4.2""], ""07 42 13"": [""1.1"", ""1.3.1""], ""07 42 63"": [""1.1"", ""1.3.1""], ""08 11 73"": [""1.1"", ""2.6.1"", ""2.6.2""], ""08 33 23"": [""1.1"", ""2.2.7.1""], ""08 34 01"": [""1.1"", ""2.10.2""], ""08 34 02"": [""1.1"", ""2.13.2""], ""08 34 16"": [""1.1"", ""2.1.18.2"", ""2.1.18.4"", ""2.1.3""], ""08 34 16.10"": [""1.1"", ""2.1.3""], ""08 34 16.20"": [""1.1"", ""2.10.1""], ""08 36 13"": [""1.1"", ""2.8"", ""2.8.1""], ""08 36 19"": [""1.1"", ""2.6.1""], ""08 39 53"": [""1.1"", ""2.4.2""], ""08 39 54"": [""1.1"", ""2.4.4""], ""08 44 00"": [""1.1"", ""2.11.3"", ""3.4.1""], ""08 51 23"": [""1.1"", ""2.1.5""], ""08 56 63"": [""1.1"", ""2.1.4""], ""08 91 00"": [""1.1"", ""2.5.2""], ""09 97 13.25"": [""1.1"", ""2.5""], ""10 14 00.10"": [""1.1"", ""2.17.1""], ""10 14 53"": [""1.1"", ""2.1.1"", ""2.1.2"", ""2.1.3"", ""2.1.4"", ""2.6.1""], ""10 21 13"": [""1.1"", ""2.2.8""], ""11 05 40"": [""1.1"", ""2.1.5"", ""2.1.7.1""], ""11 13 19.13"": [""1.1"", ""2.1.1.1"", ""2.2.1""], ""11 68 13"": [""1.1"", ""2.1.5.1""], ""11 82 19"": [""1.1"", ""2.5.1"", ""2.6.9.6"", ""3.3.4""], ""12 93 00"": [""1.1"", ""2.3.1""], ""13 31 33"": [""1.1"", ""2.1.1""], ""13 34 19"": [""1.1"", ""2.1.6""], ""13 34 23.12 10"": [""1.1"", ""1.2.9.3"", ""2.3.5""], ""13 49 20.00 10"": [""1.1"", ""2.11""], ""14 92 00"": [""1.1"", ""2.3.1""], ""22 15 19.13 20"": [""1.1"", ""2.2.9.1""], ""22 31 00"": [""1.1"", ""2.6""], ""23 21 13.00 20"": [""1.1"", ""2.3.2""], ""23 21 23"": [""1.1"", ""2.6.1""], ""23 30 00"": [""1.1"", ""1.4.1"", ""2.9""], ""23 35 19.00 20"": [""1.1"", ""2.5.1.2"", ""2.5.3""], ""23 51 43.00 20"": [""1.1"", ""2.13.3"", ""2.13.5""], ""23 51 43.01 20"": [""1.1"", ""2.2.9.1""], ""23 51 43.02 20"": [""1.1"", ""2.6.5""], ""23 51 43.03 20"": [""1.1"", ""3.8""], ""23 52 30.00 10"": [""1.1"", ""2.12.1""], ""23 63 00.00"": [""1.1"", ""2.8""], ""23 65 00"": [""1.1"", ""2.4.8"", ""2.5.4.7""], ""23 69 00.00 20"": [""1.1"", ""2.5.13""], ""23 74 33"": [""1.1"", ""2.5.4.2""], ""23 76 00"": [""1.1"", ""2.10.1""], ""23 81 00"": [""1.2"", ""2.3.5.2.6.2""], ""23 82 00.00 20"": [""1.1"", ""2.10""], ""26 11 13.00 20"": [""1.1"", ""2.2.11.2""], ""26 11 14.00 10"": [""1.1"", ""2.11.8"", ""2.3.2.1"", ""2.4.1.2""], ""26 11 16"": [""1.1"", ""2.2.1.1""], ""26 13 13"": [""1.1"", ""2.2.2.1""], ""26 13 14"": [""1.1"", ""2.1.8""], ""26 13 32"": [""1.1"", ""2.2.2.1""], ""26 23 00"": [""1.1"", ""2.2.2.1""], ""26 24 13"": [""1.1"", ""2.2.2.1""], ""26 29 01.00 10"": [""1.1"", ""1.4.1.3""], ""26 29 02.00 10"": [""1.1"", ""1.3.1.2""], ""26 55 53"": [""1.1"", ""2.4.1.2""], ""26 56 00"": [""1.1"", ""2.6.2""], ""26 56 20"": [""1.1"", ""1.6.6.2""], ""28 10 05"": [""1.1"", ""3.1.6""], ""28 31 33"": [""1.1"", ""2.10.1""], ""31 21 00"": [""1.2"", ""2.10.8"", ""2.3.3""], ""31 62 19.13"": [""1.1"", ""2.1.6""], ""31 63 26"": [""1.2"", ""2.1.3""], ""31 63 26.60"": [""1.2"", ""2.1""], ""33 30 00"": [""1.1"", ""2.2.18""], ""33 40 00"": [""1.2"", ""2.6.11"", ""2.6.7""], ""33 46 16"": [""1.2"", ""2.4.3.5""], ""33 52 40"": [""1.2"", ""2.5.8.1""], ""33 56 21.17"": [""1.1"", ""2.13.10"", ""2.13.8""], ""33 61 13.19"": [""1.1"", ""2.14.5""], ""33 63 13.19"": [""1.1"", ""3.3.1""], ""33 71 01"": [""1.1"", ""2.2.2"", ""2.4"", ""3.1.4.2""], ""34 71 13.16"": [""1.1"", ""2.1.2"", ""2.6.2"", ""2.6.5.1"", ""2.6.6""], ""34 75 13.13"": [""1.1"", ""2.15""], ""35 20 20"": [""1.1"", ""1.3.3""], ""35 45 02.00 10"": [""1.3"", ""2.2.5""], ""35 45 04.00 10"": [""1.2"", ""2.6.8""], ""35 51 13.00 20"": [""1.1"", ""2.2.6"", ""2.2.7""], ""35 59 13.16"": [""1.1"", ""2.1.6.2""], ""35 59 13.17"": [""1.1"", ""2.1.4"", ""2.1.7""], ""35 59 13.18"": [""1.1"", ""2.1.7""], ""43 31 13.13 10"": [""1.2"", ""2.2.12""], ""44 10 00"": [""1.1"", ""2.1.4""], ""44 13 51"": [""1.2"", ""2.25.3""], ""46 23 00"": [""1.1"", ""2.3""], ""46 53 22"": [""1.1"", ""2.2.2""]}"
ASTM A126,"(2004; R 2023) Standard Specification for Gray Iron Castings for Valves, Flanges, and Pipe Fittings",ASTM,ASTM INTERNATIONAL,ORG052,"{""23 05 15"": [""1.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.3.17"", ""2.4.1"", ""2.4.4"", ""2.4.5""], ""23 09 53.00 20"": [""1.1"", ""2.3.1""], ""23 51 43.00 20"": [""1.1"", ""2.10.2.1""], ""23 52 30.02 10"": [""1.1"", ""2.2.20.1""], ""23 63 00.00"": [""1.1"", ""2.18.4""], ""26 32 15"": [""1.1"", ""2.8.2.1""], ""33 32 16"": [""1.1"", ""2.7.3""], ""35 20 16.54"": [""1.4"", ""2.1.1"", ""2.2.7""], ""35 45 01"": [""1.2"", ""2.4.7.12""], ""35 45 02.00 10"": [""1.3"", ""2.4.8""], ""40 05 13"": [""1.2"", ""2.18.3.3"", ""2.20.9.1"", ""2.5.3""], ""43 21 29"": [""1.1"", ""2.1.1.2"", ""2.1.1.3""], ""46 61 00"": [""1.1"", ""2.2.1.8.2""]}"
ASTM A128/A128M,"(1993; R 2017) Standard Specification for  Steel Castings, Austenitic Manganese",ASTM,ASTM INTERNATIONAL,ORG052,"{""41 22 13.33"": [""1.1"", ""2.2.2.1"", ""2.2.2.2"", ""2.2.2.3""]}"
ASTM A134/A134M,"(2019) Standard Specification for Pipe, Steel, Electric-Fusion (Arc)-Welded (Sizes NPS 16 and Over)",ASTM,ASTM INTERNATIONAL,ORG052,"{""33 61 13"": [""1.1"", ""2.2.5""], ""33 63 13"": [""1.1"", ""2.2.5""]}"
ASTM A135/A135M,(2021) Standard Specification for Electric-Resistance-Welded Steel Pipe,ASTM,ASTM INTERNATIONAL,ORG052,"{""11 68 13"": [""1.1"", ""2.1.1.1""], ""21 13 13"": [""1.1"", ""2.3.1.1""], ""21 13 16"": [""1.1"", ""2.3.1.1""], ""21 13 18"": [""1.1"", ""2.3.1.1""], ""21 13 19"": [""1.1"", ""2.3.1.1""], ""33 61 13"": [""1.1"", ""2.2.5""], ""33 63 13"": [""1.1"", ""2.2.5""]}"
ASTM A139/A139M,(2022) Standard Specification for Electric-Fusion (ARC)-Welded Steel Pipe (NPS 4 and over),ASTM,ASTM INTERNATIONAL,ORG052,"{""23 51 43.01 20"": [""1.1"", ""2.1""], ""33 05 23"": [""1.1"", ""2.3.1.2.1""], ""33 11 13"": [""1.2"", ""2.1.1""], ""33 61 13"": [""1.1"", ""2.2.5""], ""33 63 13"": [""1.1"", ""2.2.5""]}"
ASTM A143/A143M,(2007; R 2020) Standard Practice for  Safeguarding Against Embrittlement of Hot-Dip Galvanized Structural Steel Products and Procedure for Detecting Embrittlement,ASTM,ASTM INTERNATIONAL,ORG052,"{""05 12 00"": [""1.1"", ""3.7.4""], ""11 13 19.13"": [""1.1"", ""2.2.1""]}"
ASTM A148/A148M,"(2024) Standard Specification for Steel Castings, High Strength, for Structural Purposes",ASTM,ASTM INTERNATIONAL,ORG052,"{""05 50 15"": [""1.1"", ""2.1.7""], ""31 62 16.13"": [""1.2"", ""2.2.2"", ""2.2.3""], ""31 62 16.16"": [""1.2"", ""2.2.3""], ""35 01 41.00 10"": [""1.1"", ""2.12.1"", ""2.12.1.2"", ""2.20""], ""35 01 70.13"": [""1.1"", ""2.1.12""], ""35 05 40.17"": [""1.2"", ""2.1.4""], ""35 20 16.39"": [""1.2"", ""2.2.1.10"", ""2.2.1.4""], ""35 20 16.46"": [""1.2"", ""2.2.1.4""], ""35 20 16.53"": [""1.2"", ""2.3.5""], ""35 20 16.59"": [""1.2"", ""2.3.10""]}"
ASTM A153/A153M,(2023) Standard Specification for Zinc Coating (Hot-Dip) on Iron and Steel Hardware,ASTM,ASTM INTERNATIONAL,ORG052,"{""03 42 13.00 10"": [""1.1"", ""2.2.5""], ""03 45 00"": [""1.1"", ""2.2.11"", ""2.3.1.1"", ""2.3.1.2"", ""2.3.1.3"", ""2.3.2.1"", ""2.3.2.2""], ""03 45 33"": [""1.1"", ""2.2.9""], ""04 20 00"": [""1.1"", ""2.6.2"", ""2.6.2.1""], ""04 23 00"": [""1.2"", ""2.4.1"", ""2.4.2.1""], ""05 05 20"": [""1.1"", ""2.1.1.3"", ""2.1.1.4"", ""2.1.1.5""], ""05 40 00"": [""1.1"", ""2.3.1"", ""2.3.2""], ""05 50 13"": [""1.1"", ""2.3.1""], ""05 51 00"": [""1.1"", ""2.3.4"", ""2.3.6""], ""05 51 33"": [""1.1"", ""2.3.1""], ""05 52 00"": [""1.1"", ""2.2.7"", ""2.2.9""], ""05 72 00"": [""1.1"", ""2.1.1""], ""06 10 00"": [""1.1"", ""2.6"", ""2.6.6""], ""06 13 33"": [""1.1"", ""2.1.4""], ""06 18 00"": [""1.1"", ""2.2.5""], ""08 33 23"": [""1.1"", ""2.2.1.6"", ""2.2.2""], ""08 39 53"": [""1.1"", ""2.4.2""], ""08 39 54"": [""1.1"", ""2.4.4""], ""08 44 00"": [""1.1"", ""2.11.1"", ""2.11.2"", ""3.4.1""], ""08 56 63"": [""1.1"", ""2.1.4""], ""09 97 13.25"": [""1.1"", ""2.5""], ""10 22 13"": [""1.1"", ""2.8.7""], ""11 13 19.13"": [""1.1"", ""2.2.1""], ""11 68 13"": [""1.1"", ""2.1.1.5""], ""11 82 19"": [""1.1"", ""2.5.1"", ""2.6.9.6""], ""12 93 00"": [""1.1"", ""2.1.8"", ""2.3.1""], ""13 31 33"": [""1.1"", ""2.1.3""], ""13 34 19"": [""1.1"", ""2.1.10"", ""2.1.11"", ""2.1.12"", ""2.1.9""], ""13 48 73"": [""1.1"", ""2.2""], ""21 13 13"": [""1.1"", ""2.3.1.1""], ""21 13 16"": [""1.1"", ""2.3.1.1""], ""21 13 18"": [""1.1"", ""2.3.1.1""], ""21 13 19"": [""1.1"", ""2.3.1.1""], ""22 13 29"": [""1.1"", ""2.1.6""], ""22 15 19.13 20"": [""1.1"", ""2.2.9.1""], ""22 31 00"": [""1.1"", ""2.6""], ""23 21 23"": [""1.1"", ""2.6.1""], ""23 52 30.00 10"": [""1.1"", ""2.12.1""], ""23 63 00.00"": [""1.1"", ""2.8""], ""23 65 00"": [""1.1"", ""2.4.8""], ""23 69 00.00 20"": [""1.1"", ""2.5.13""], ""23 74 33"": [""1.1"", ""2.5.4.2""], ""23 81 00"": [""1.2"", ""2.3.5.2.6.2""], ""26 05 48"": [""1.1"", ""2.3""], ""26 11 13.00 20"": [""1.1"", ""2.2.11.2""], ""26 11 14.00 10"": [""1.1"", ""2.11.8"", ""2.3.2.1""], ""26 11 16"": [""1.1"", ""2.2.1.1""], ""26 13 13"": [""1.1"", ""2.2.2.1""], ""26 13 14"": [""1.1"", ""2.1.11"", ""2.1.12"", ""2.1.13""], ""26 13 32"": [""1.1"", ""2.2.2.1""], ""26 23 00"": [""1.1"", ""2.2.2.1""], ""26 24 13"": [""1.1"", ""2.2.2.1""], ""26 29 01.00 10"": [""1.1"", ""1.4.1.3""], ""26 29 02.00 10"": [""1.1"", ""1.3.1.2""], ""26 55 53"": [""1.1"", ""2.2.2"", ""2.4.1.2""], ""26 56 00"": [""1.1"", ""2.6.7""], ""26 56 20"": [""1.1"", ""1.6.6.2""], ""28 31 33"": [""1.1"", ""2.10.1"", ""2.10.4""], ""31 21 00"": [""1.2"", ""2.3.3""], ""31 62 19.13"": [""1.1"", ""2.1.6""], ""31 63 26.60"": [""1.2"", ""2.1""], ""32 31 13.53"": [""1.1"", ""2.1.3.2"", ""2.3.1"", ""2.3.3""], ""32 31 26"": [""1.1"", ""2.2.2""], ""33 52 40"": [""1.2"", ""2.5.8.1""], ""33 63 23"": [""1.1"", ""2.5.5""], ""33 71 01"": [""1.1"", ""2.4""], ""34 71 13.16"": [""1.1"", ""2.6.3"", ""2.6.4""], ""35 20 20"": [""1.1"", ""1.3.3""], ""35 51 13.00 20"": [""1.1"", ""2.2.6"", ""2.2.7""], ""35 59 13.13"": [""1.1"", ""2.1.8""], ""35 59 13.16"": [""1.1"", ""2.1.6.2""], ""35 59 13.17"": [""1.1"", ""2.1.4"", ""2.1.7""], ""35 59 13.18"": [""1.1"", ""2.1.7""], ""40 05 13"": [""1.2"", ""2.24.4.3"", ""2.3.4"", ""2.4.5.2""], ""43 31 13.13 10"": [""1.2"", ""2.2.12""], ""44 13 51"": [""1.2"", ""2.25.3""], ""46 20 20"": [""1.1"", ""2.1.2.1""], ""46 23 00"": [""1.1"", ""2.3""], ""46 24 16"": [""1.1"", ""2.3.4""], ""46 31 11"": [""1.1"", ""2.3.2""], ""46 53 22"": [""1.1"", ""2.2.2""], ""46 61 00"": [""1.1"", ""2.2.2.6""], ""46 71 16"": [""1.1"", ""2.2.6"", ""2.2.7""]}"
ASTM A159,(1983; R 2024) Standard Specification for Automotive Gray Iron Castings,ASTM,ASTM INTERNATIONAL,ORG052,"{""23 21 23"": [""1.1"", ""2.3.6.1""], ""41 22 13.16"": [""1.1"", ""2.3.3""]}"
ASTM A167,"(2011) Standard Specification for Stainless and Heat-Resisting Chromium-Nickel Steel Plate, Sheet, and Strip",ASTM,ASTM INTERNATIONAL,ORG052,"{""04 20 00"": [""1.1"", ""2.6.7.3""], ""08 56 63"": [""1.1"", ""2.1.5""], ""09 51 00"": [""1.1"", ""2.2.3.1""], ""10 21 13"": [""1.1"", ""2.2.10.1""], ""10 26 00"": [""1.1"", ""2.2.2"", ""2.7.2""], ""11 71 00"": [""1.2"", ""2.1.5""], ""23 35 19.00 20"": [""1.1"", ""2.5.2"", ""2.8.2""], ""23 50 52.00 10"": [""1.1"", ""2.24.11"", ""2.24.13"", ""2.24.7"", ""2.24.7.1"", ""2.24.8"", ""2.24.8.1""], ""23 51 43.00 20"": [""1.1"", ""2.11""], ""23 51 43.01 20"": [""1.1"", ""2.2.2""], ""23 51 43.03 20"": [""1.1"", ""2.4.5""], ""23 52 00"": [""1.1"", ""2.12.18.10""], ""23 52 30.01 10"": [""1.1"", ""2.30.11"", ""2.30.13"", ""2.30.7"", ""2.30.7.1"", ""2.30.8"", ""2.30.8.1""], ""23 54 19"": [""1.1"", ""2.11.4"", ""2.8""], ""23 74 33"": [""1.1"", ""2.2.2""], ""26 05 33"": [""1.1"", ""2.1.1"", ""2.2.1""], ""40 05 13"": [""1.2"", ""2.24""], ""46 53 62"": [""1.1"", ""2.3.5.2.1""], ""46 61 00"": [""1.1"", ""2.2.2.12.2""]}"
ASTM A179/A179M,(2024) Standard Specification for Seamless Cold-Drawn Low-Carbon Steel Heat-Exchanger and Condenser Tubes,ASTM,ASTM INTERNATIONAL,ORG052,"{""23 52 30.00 10"": [""1.1"", ""2.6""], ""23 52 30.01 10"": [""1.1"", ""2.18""]}"
ASTM A181/A181M,"(2014; R 2020) Standard Specification for Carbon Steel Forgings, for General-Purpose Piping",ASTM,ASTM INTERNATIONAL,ORG052,"{""23 11 20"": [""1.2"", ""2.2.1""], ""23 58 00.00 10"": [""1.1"", ""2.2.3.11""], ""23 63 00.00"": [""1.1"", ""2.18.2"", ""2.18.3"", ""2.18.5""], ""23 64 26"": [""1.1"", ""2.4.2"", ""2.5.1""], ""26 32 15"": [""1.1"", ""2.11.3"", ""2.4.5.1"", ""2.8.2.1""], ""31 21 00"": [""1.2"", ""2.3""], ""33 51 15"": [""1.2"", ""2.2.6""], ""35 05 40.14 10"": [""1.4"", ""2.3.3.2""], ""40 05 13"": [""1.2"", ""2.24.1.1""], ""41 65 10.00 10"": [""1.1"", ""2.3.2""]}"
ASTM A182/A182M,"(2024) Standard Specification for Forged or Rolled Alloy and Stainless Steel Pipe Flanges, Forged Fittings, and Valves and Parts for High-Temperature Service",ASTM,ASTM INTERNATIONAL,ORG052,"{""22 15 26.00 20"": [""1.1"", ""2.16.1"", ""2.9.12""], ""33 52 10"": [""1.2"", ""2.3.1.2"", ""2.4.1"", ""2.4.2.2""], ""33 52 40"": [""1.2"", ""2.2.7.3""], ""33 52 43.13"": [""1.1"", ""2.1.5.3""], ""33 52 43.23"": [""1.1"", ""2.1.2"", ""2.3.2""], ""33 56 53"": [""1.1"", ""2.1.3""], ""35 05 40.14 10"": [""1.4"", ""2.7.1.3""], ""40 05 13"": [""1.2"", ""2.6.1.4"", ""2.6.1.6"", ""2.6.2.4"", ""2.6.2.6"", ""2.7.1.3.3"", ""2.7.2.4.3"", ""2.7.3.4.3"", ""2.7.4.3.3""], ""46 30 13"": [""1.1"", ""2.4.2.1""]}"
